SMILES,Td
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,484.0
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,522.0
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,510.0
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,513.0
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,515.0
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,512.0
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,502.0
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,514.0
*Oc1cc(ccc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*,410.0
*Oc1cc(ccc1)NC(=O)c1ccc(cc1)C(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*,430.0
*c1oc(cc1)CC*,356.5
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1ccc(cc1)*)c1ccccc1,435.0
*Oc1cc(ccc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1cc(ccc1)Oc1ccc(cc1)P(=O)(c1ccc(cc1)*)c1ccccc1)c1ccccc1,450.0
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)P(=O)(c1ccc(cc1)*)c1ccccc1)c1ccccc1,440.0
*Oc1c(cc(c(c1)OC)*)OC,245.0
*c1sc2c(n1)ccc(c2)c1ccc2c(sc(n2)CCCCCCCC*)c1,300.0
*c1sc(cc1)CC*,398.0
*OC(=O)CCC(=O)OCCCC*,363.1428571
*OC(=O)CCCCCCCCC(=O)OCCCC*,350.0
*OC(=O)CCCCCCCCC(=O)OCCCCCC*,338.5
*OC(=O)c1ccc(cc1)C(=O)OCC*,408.7625
*OC(=O)c1ccc(cc1)C(=O)OCCCC*,373.5666667
*OC(=O)c1ccc(cc1)C(=O)OCCCCCC*,370.0
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*)(C)C,486.0
*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*,410.5
*OC(=O)CCC(=O)OCCCCCC*,361.0
*OC(=O)CCCCC*,355.6666667
*OC(CC(=O)*)C,251.0
*OC(C(=O)*)C,331.456
*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)*)OC)OC,240.0
*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)c1ccc(cc1)C(=O)*)OC)OC,250.0
*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC,230.0
*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)*)OC)OC,190.0
*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)*)OC)OC,235.0
*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC,190.0
*OC(=O)CCCCCCCC(=O)OCCCC*,350.0
*OC(=O)COCC(=O)OCCCC*,380.0
*OC(=O)c1cc(ccc1)c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F,446.0
*OC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,437.0
*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCC*,379.0
*Oc1c(cc(cc1)C=Nc1ccc(cc1)c1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC,320.0
*Oc1c(cc(cc1)C=Nc1ccc(cc1)c1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)*)OC)OC,320.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCOC(=O)*)cc1,415.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCOC(=O)*)cc1,410.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCOC(=O)*)cc1,413.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCOC(=O)*)cc1,410.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCOC(=O)*)cc1,412.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCOC(=O)*)cc1,405.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCCOC(=O)*)cc1,402.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCCCCOC(=O)*)cc1,405.0
*c1ccc2c(c1)c(=O)oc(n2)c1cc(cc(c1)N1C(=O)c2c(C1=O)cccc2)c1oc(=O)c2c(ccc(c2)C*)n1,415.0
*NC(=O)CCCCC(=O)NCCCC*,404.0
*NC(=O)CCCCC*,390.3909091
*NC(=O)CCCCC(=O)NCCCCCC*,410.5
*NC(=O)CCCCC(=O)NCCCCCCCCC*,372.5
*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)*,370.0
*NC(=O)c1cc(ccc1)C(=O)NCC(CCC*)(C)C,302.0
*NC(=O)CCCCC(=O)NCc1cc(ccc1)C*,396.8
*NC(=O)CCCCC(=O)NCC(CCC*)(C)C,305.0
*NC(=O)CCCCCCCC(=O)NCC(CCC*)(C)C,346.0
*NC(=O)CCCCCC(=O)NCC(CCC*)(C)C,341.0
*NC(=O)c1ccc(cc1)C(=O)NCC(CCC*)(C)C,285.0
*NC(=O)C(=O)NCC(CCC*)(C)C,286.0
*Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)*,522.5
*NC(=O)c1ccc(cc1)C(=O)NCCCCCC*,479.0
*NC(=O)CCCCC(=O)NC*,480.0
*NC(=O)CCCCCCCCC(=O)NC*,530.0
*Nc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)*)c1ccccc1,425.0
*NC(=O)c1c(c(c(c(c1Cl)Cl)C(=O)NCCCCCC*)Cl)Cl,364.0
*Nc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)c1ccc(cc1)C(=O)*,457.0
*Nc1cc(ccc1)C(=O)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)c1ccc(cc1)C(=O)*,388.0
*Nc1ccc(cc1)NC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)*)c1ccccc1,430.0
*NC(=O)NCCCCCC*,370.0
*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)NCCCCCCNC(=O)*,330.0
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)Oc1ccc(cc1)*,529.1076923
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)Oc2ccc(cc2)OC(=O)*)cc1,433.5
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,478.074
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc(ccc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc(ccc2)Oc2ccc(cc2)*)cc1,476.85
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(C(C(*)(F)F)(F)F)(F)F)cc1,496.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(C(C(*)(F)F)(F)F)(F)F)cc1,510.0
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc(ccc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1cc(ccc1)*,570.0
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,554.0966667
*N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,543.0
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)CCCCCCCC*)cc1,467.0
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc(ccc2)Oc2ccc(cc2)*)cc1,478.425
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)*)cc1,515.0
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,545.6
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,515.2322222
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,494.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2cc(ccc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,489.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)C(=O)c2cc(ccc2)C(=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,500.3333333
*N1C(=O)c2c(C1=O)cc(cc2)C(=O)c1cc2c(C(=O)N(C2=O)CCCCCC*)cc1,455.0
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,490.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,468.1218182
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,490.0
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)OCCOCCOc2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,408.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCOc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,485.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCOCCOc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,432.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCOCCOCCOc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,432.0
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2cc(ccc2)*)cc1)(C)C,522.0
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc(ccc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,466.85
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,500.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C)C)cc1,480.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)NC2CCC(CC2)CC2CCC(CC2)NC(=O)*)cc1,365.0
*N1C(=O)C(CC1=O)Nc1ccc(cc1)Cc1ccc(cc1)NC1C(=O)N(C(=O)C1)c1ccc(cc1)Cc1ccc(cc1)*,405.0
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(ccc2)Oc2ccc(cc2)*)cc1,580.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)OCCOCCOCCOCCOc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,400.0
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)C=CC(=O)OCCOC(=O)*)cc1,325.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)(C(F)(F)F)C(F)(F)F)cc1,510.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,525.0
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,500.0
*c1cc2c(C(=O)N(C2=O)c2c(cc(c(c2C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)C)cc1,510.0
*c1cc2c(C(=O)N(C2=O)c2c(c(c(c(c2C)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)C)cc1,500.0
*c1cc2c(C(=O)N(C2=O)c2cc3c(C(CC3(c3ccc(cc3)N3C(=O)c4c(C3=O)cc(cc4)C(=O)*)C)(C)C)cc2)cc1,500.0
*OC(=O)c1ccc(cc1)C(C(C(c1ccc(cc1)C(=O)*)(F)F)(F)F)(F)F,335.0
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)(C)C,506.92
*Oc1cc(ccc1)C(C(C(c1cc(ccc1)OC(=O)*)(F)F)(F)F)(F)F,395.0
*N(CC*)C(=O)c1ccccc1,351.0
*c1nc2c(nc1c1ccccc1)cc(cc2)c1cc2c(nc(c(n2)c2ccc(cc2)*)c2ccccc2)cc1,555.0
*c1nc2c(nc1c1ccccc1)cc(cc2)c1cc2c(nc(c(n2)c2cc(ccc2)*)c2ccccc2)cc1,568.0
*c1nc2c(nc1c1cc3c(cc1)cccc3)cc(cc2)c1cc2c(nc(c(n2)c2ccc(cc2)*)c2cc3c(cc2)cccc3)cc1,577.0
*c1nc2c(nc1c1cc3c(cc1)cccc3)cc(cc2)c1cc2c(nc(c(n2)c2cc(ccc2)*)c2cc3c(cc2)cccc3)cc1,564.0
*[Si](C*)(C)C,585.0
*O[Si](*)(C)C,356.5
*O[Si](c1cc(ccc1)C(C(c1cc(ccc1)[Si](*)(C)C)(F)F)(F)F)(C)C,470.0
*O[Si](c1cc(ccc1)C(C(C(c1cc(ccc1)[Si](*)(C)C)(F)F)(F)F)(F)F)(C)C,465.0
*O[Si](c1ccc(cc1)[Si](*)(C)C)(C)C,411.0
*N=P(*)(Oc1ccccc1)Oc1ccccc1,395.0
*OS(=O)(=O)c1ccc(cc1)*,375.0
*c1ccc(cc1)*,462.5
*c1ccc(cc1)C(*)C,451.0
*c1ccc(cc1)CC*,310.0
*c1cc(ccc1)CC*,390.0
*c1cc(ccc1)*,360.0
*c1cc(ccc1)C(C(C(*)(F)F)(F)F)(F)F,450.0
*c1c(cc(cc1)*)O,470.0
*C(C*)c1ccc(cc1)Cn1c2ccccc2c2ccccc12,416.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OC)C(=O)Oc1ccc(cc1)OC,396.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCC)C(=O)Oc1ccc(cc1)OCCCC,406.0
*C(C*)c1ccc(cc1)N(c1ccccc1)c1ccccc1,333.0
*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC(CC)C)c1ccc(cc1)C(=O)OC(CC)C,331.7
*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC(CCCCCC)C)c1ccc(cc1)C(=O)OC(CCCCCC)C,324.6
*C(C*)c1c(ccc(c1)c1ccc(cc1)C(=O)OC1C(CCC(C1)C)C(C)C)c1ccc(cc1)C(=O)OC1C(CCC(C1)C)C(C)C,319.0
*C(C*)c1c(ccc(c1)C(=O)OC)c1ccc(cc1)OCCCCCCCC,392.0
*C(C*)c1c(ccc(c1)C(=O)OCC)c1ccc(cc1)OCCCCCCCC,381.0
*C(C*)c1c(ccc(c1)C(=O)OCCCC)c1ccc(cc1)OCCCCCCCC,388.0
*C(C*)c1c(ccc(c1)C(=O)OCCCCCC)c1ccc(cc1)OCCCCCCCC,396.0
*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCC)c1ccc(cc1)OCCCCCCCC,369.0
*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCCCC)c1ccc(cc1)OCCCCCCCC,369.0
*C(C*)c1c(ccc(c1)C(=O)OCCCCCCCCCCCC)c1ccc(cc1)OCCCCCCCC,392.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCC)C(=O)Oc1ccc(cc1)OCC,398.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCC,391.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCC,418.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCC,416.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCC,418.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCC,424.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCC,409.0
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCCCC,408.5
*C(C*)c1ccc(cc1)CN(N=Cc1c2c(cs1)OCCO2)c1ccccc1,240.0
*C(C*)c1c(ccc(c1)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)OC,352.0
*C(C*)c1c(ccc(c1)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)OCCCC,370.0
*C(C*)c1c(ccc(c1)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)OCCCCCC,376.0
