SMILES,salt,molality,temperature,log_conductivity,is_synthetic,Tg,T_minus_Tg,is_glassy
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,20.43056732,-6.825758,0,-7.146636962890625,27.577204282890627,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,19.25809175,-6.901515,0,-7.146636962890625,26.404728712890623,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,17.95013728,-6.962121,0,-7.146636962890625,25.096774242890625,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,17.01281326,-7.022727,0,-7.146636962890625,24.159450222890626,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,16.15288131,-7.060606,0,-7.146636962890625,23.299518272890626,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,17.01281326,-7.015152,0,-7.146636962890625,24.159450222890626,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,15.93869415,-7.060606,0,-7.146636962890625,23.085331112890625,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,14.87249801,-7.113636,0,-7.146636962890625,22.019134972890626,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,14.09563322,-7.151515,0,-7.146636962890625,21.242270182890625,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,12.9730329,-7.212121,0,-7.146636962890625,20.119669862890625,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,12.06735559,-7.272727,0,-7.146636962890625,19.213992552890623,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,11.30552936,-7.310606,0,-7.146636962890625,18.452166322890626,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,10.06760118,-7.401515,0,-7.146636962890625,17.214238142890625,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au],CF3SO3,0.299177264,9.180275038,-7.44697,0,-7.146636962890625,16.326912000890623,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,60.76702028,-4.939394,0,-20.89937400817871,81.66639428817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,59.25094867,-4.992424,0,-20.89937400817871,80.15032267817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,58.49811869,-5.022727,0,-20.89937400817871,79.39749269817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,56.81657439,-5.128788,0,-20.89937400817871,77.71594839817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,55.70498613,-5.166667,0,-20.89937400817871,76.60436013817872,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,54.32598864,-5.234848,0,-20.89937400817871,75.2253626481787,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,52.05325203,-5.333333,0,-20.89937400817871,72.95262603817872,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,50.70464756,-5.393939,0,-20.89937400817871,71.60402156817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,49.27847972,-5.469697,0,-20.89937400817871,70.17785372817872,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,47.95274389,-5.515152,0,-20.89937400817871,68.8521178981787,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,46.81252599,-5.583333,0,-20.89937400817871,67.71189999817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,45.68047879,-5.643939,0,-20.89937400817871,66.5798527981787,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,44.55631292,-5.681818,0,-20.89937400817871,65.45568692817872,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,43.61133079,-5.75,0,-20.89937400817871,64.51070479817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,42.58679549,-5.780303,0,-20.89937400817871,63.48616949817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,41.56886636,-5.833333,0,-20.89937400817871,62.46824036817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,40.72555964,-5.886364,0,-20.89937400817871,61.62493364817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,39.88685821,-5.94697,0,-20.89937400817871,60.78623221817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,38.63707936,-5.984848,0,-20.89937400817871,59.53645336817871,0
[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCOCC[Au],CLO4,0.264340376,38.2227334,-6.015152,0,-20.89937400817871,59.122107408178714,0
